Lidar NIS, Time 
0.308758,8300000
2.12482,8300000
1.89531,8333333
11.4386,8333333
3.01791,8333333
0.957839,8366666
5.67984,8366666
0.841041,8366666
0.739761,8400000
10.2055,8400000
2.19785,8400000
3.65117,8433333
4.40267,8433333
3.25237,8433333
0.115426,8466666
4.17043,8466666
0.1526,8466666
1.29816,8500000
3.1929,8500000
0.987262,8500000
10.5403,8533333
1.28072,8533333
6.46736,8533333
1.46268,8566666
3.49567,8566666
0.939673,8566666
2.74915,8600000
1.6316,8600000
0.951147,8600000
1.68778,8633333
3.22557,8633333
0.902138,8633333
6.20841,8666666
5.04559,8666666
3.67841,8666666
0.902706,8700000
6.49086,8700000
1.52821,8700000
4.38076,8733333
1.05075,8733333
1.44413,8733333
2.81798,8766666
6.99105,8766666
5.34238,8766666
4.57414,8800000
0.369521,8800000
2.59614,8800000
5.74103,8833333
0.409193,8833333
2.42845,8833333
4.78348,8866666
0.431638,8866666
1.702,8866666
6.68297,8900000
6.21179,8900000
7.62236,8900000
2.34285,8933333
3.45019,8933333
1.46811,8933333
8.72893,8966666
7.37405,8966666
5.871,8966666
3.1776,9000000
1.8766,9000000
2.61424,9000000
3.97923,9033333
1.70028,9033333
1.55258,9033333
2.40546,9066666
0.0633001,9066666
0.423002,9066666
2.20133,9100000
0.322344,9100000
0.957562,9100000
1.67301,9133333
0.28271,9133333
0.144075,9133333
5.66839,9166666
2.63212,9166666
3.73207,9166666
5.9313,9200000
6.58135,9200000
5.68105,9200000
4.96062,9233333
1.25184,9233333
1.72087,9233333
1.47979,9266666
0.872286,9266666
0.496478,9266666
1.35778,9300000
0.210931,9300000
0.146728,9300000
7.70171,9333333
3.1119,9333333
4.12809,9333333
0.571077,9366666
0.52918,9366666
0.353474,9366666
0.547874,9400000
1.64589,9400000
1.29284,9400000
1.71254,9433333
1.59433,9433333
1.33113,9433333
2.01063,9466666
0.150732,9466666
0.364223,9466666
3.47263,9500000
1.94433,9500000
1.609,9500000
4.91636,9533333
3.32724,9533333
4.05957,9533333
0.122327,9566666
0.673207,9566666
0.497498,9566666
1.26771,9600000
0.00830528,9600000
0.0358311,9600000
3.46691,9633333
0.766588,9633333
0.782738,9633333
0.0841034,9666666
0.607357,9666666
0.670649,9666666
0.241395,9700000
0.71277,9700000
0.582939,9700000
0.511498,9733333
0.822402,9733333
0.620713,9733333
0.446427,9766666
2.18487,9766666
2.41253,9766666
0.0900909,9800000
0.777184,9800000
0.623791,9800000
0.738122,9833333
0.371009,9833333
0.0991922,9833333
1.50687,9866666
4.71684,9866666
4.26021,9866666
0.743969,9900000
0.0355532,9900000
0.049688,9900000
0.289272,9933333
1.92629,9933333
2.11409,9933333
1.78213,9966666
1.34604,9966666
0.864926,9966666
